,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,Conversational turns,Joint attention,Mutual gaze,time
362,0,1,0,0,0,1,1,0,0,0,1,0,189.318
363,0,1,0,0,0,1,1,0,0,0,1,0,189.818
364,0,1,0,1,1,1,1,0,0,0,1,0,190.318
365,0,1,0,1,1,1,1,1,0,0,1,0,190.818
366,0,1,0,0,0,1,0,1,0,0,1,0,191.318
367,0,1,0,0,0,1,0,1,0,0,1,0,191.818
368,0,1,0,0,0,1,0,1,0,0,0,0,192.318
369,0,1,0,0,0,1,0,1,0,0,1,0,192.818
370,0,1,0,0,0,1,0,1,0,0,1,0,193.318
371,0,1,0,0,0,1,0,1,0,0,1,0,193.818
372,0,1,0,0,0,1,0,1,0,0,1,0,194.318
373,0,1,0,0,0,1,0,1,0,0,0,0,194.818
374,0,1,0,1,1,1,0,0,0,0,0,0,195.318
375,0,1,0,0,0,1,1,0,0,0,0,0,195.818
376,0,1,0,1,1,1,1,0,0,0,1,0,196.318
377,0,1,0,1,1,1,1,0,0,0,1,0,196.818
378,0,1,0,1,1,1,0,0,0,0,1,0,197.318
379,0,1,0,0,0,1,0,0,0,0,0,0,197.818
380,0,1,0,0,0,1,0,1,0,0,0,0,198.318
381,0,1,0,0,0,1,0,1,0,0,0,0,198.818
382,0,1,0,0,0,1,0,1,0,0,0,0,199.318
383,0,1,0,0,0,1,0,1,0,0,0,0,199.818
384,0,1,0,0,0,1,0,1,0,0,0,0,200.318
385,0,1,0,0,0,1,0,0,0,0,1,0,200.818
386,0,1,0,0,0,1,0,0,0,0,1,0,201.318
387,0,1,0,0,0,1,0,0,0,0,1,0,201.818
388,0,1,0,0,0,1,0,0,0,0,1,0,202.318
389,0,1,0,0,0,1,0,0,0,0,1,0,202.818
390,0,1,0,0,0,1,0,0,0,0,1,0,203.318
391,0,1,0,0,0,1,0,0,0,0,1,0,203.818
392,0,1,0,0,0,1,0,0,0,0,1,0,204.318
393,0,1,0,0,0,1,0,0,0,0,1,0,204.818
394,0,1,0,0,0,1,1,0,0,0,1,0,205.318
395,0,1,0,0,0,1,1,0,0,0,1,0,205.818
396,0,1,0,0,0,1,1,0,0,0,1,0,206.318
397,0,1,0,1,1,1,1,0,0,0,1,0,206.818
398,0,1,0,1,1,1,1,1,0,0,1,0,207.318
399,0,1,0,0,0,1,0,1,0,0,1,0,207.818
400,0,1,0,0,0,1,0,1,0,0,0,0,208.318
401,0,1,0,0,0,1,0,1,0,0,0,0,208.818
402,0,1,0,0,0,1,0,1,0,0,0,0,209.318
403,0,1,0,0,0,1,0,1,0,0,0,0,209.818
404,0,1,0,0,0,1,0,0,0,0,0,0,210.318
405,0,1,0,0,0,1,0,0,0,0,0,0,210.818
406,0,0,0,1,1,0,0,0,0,0,0,0,211.318
407,0,0,0,1,1,1,0,0,0,0,0,0,211.818
408,0,0,0,1,1,1,0,0,0,0,0,0,212.318
409,0,0,0,1,1,1,0,0,0,0,0,0,212.818
410,0,0,0,1,1,1,0,0,0,0,0,0,213.318
411,0,1,0,1,1,1,0,0,0,0,1,0,213.818
412,0,1,0,1,1,1,0,0,0,0,1,0,214.318
413,0,1,0,1,1,1,0,1,0,0,1,0,214.818
414,0,1,0,0,0,1,0,1,0,0,1,0,215.318
415,0,1,0,0,0,1,0,1,0,0,1,0,215.818
416,0,1,0,0,0,1,0,1,0,0,1,0,216.318
417,0,1,0,0,0,1,0,1,0,0,1,0,216.818
418,0,1,0,0,0,1,0,1,0,0,1,0,217.318
419,0,1,0,0,0,1,0,1,0,0,1,0,217.818
420,0,1,0,0,0,1,0,1,0,0,1,0,218.318
421,0,1,0,0,0,0,0,0,0,0,0,0,218.818
422,0,1,0,0,0,0,0,0,0,0,0,0,219.318
423,0,1,0,0,0,0,0,0,0,0,0,0,219.818
424,0,1,0,0,0,0,0,0,0,0,0,0,220.318
425,0,0,0,0,0,0,0,0,0,0,0,0,220.818
426,0,0,0,0,0,0,0,0,0,0,0,0,221.318
427,0,0,0,0,0,0,0,0,0,0,0,0,221.818
428,0,0,0,0,0,0,0,0,0,0,0,0,222.318
429,0,0,0,0,0,0,0,0,0,0,0,0,222.818
430,0,1,0,0,0,0,0,0,0,0,0,0,223.318
431,0,1,0,0,0,0,0,0,0,0,0,0,223.818
432,0,1,0,1,1,0,0,0,0,0,0,0,224.318
433,0,1,0,1,1,0,0,0,0,0,0,0,224.818
434,0,1,0,1,1,0,0,0,0,0,0,0,225.318
435,0,1,0,0,0,0,0,0,0,0,0,0,225.818
436,0,1,0,0,0,1,0,0,0,0,1,0,226.318
437,0,1,0,0,0,1,0,0,0,0,1,0,226.818
438,0,1,0,0,0,1,0,0,0,0,1,0,227.318
439,0,1,0,0,0,1,0,0,0,0,1,0,227.818
